,Date,Season,Team,상대팀,R,H,E,B,AB,HIT,RBI,AVG
0,2019-03-12,2019,NC,롯데,4.0,10.0,1.0,1.0,34,10.0,4.0,0.294
1,2019-03-12,2019,롯데,NC,6.0,9.0,0.0,5.0,31,9.0,5.0,0.29
2,2019-03-12,2019,KT,삼성,12.0,11.0,0.0,8.0,39,11.0,12.0,0.282
3,2019-03-12,2019,삼성,KT,13.0,20.0,1.0,2.0,45,20.0,13.0,0.444
4,2019-03-12,2019,SK,KIA,1.0,5.0,3.0,3.0,30,5.0,1.0,0.167
5,2019-03-12,2019,KIA,SK,4.0,4.0,0.0,3.0,31,4.0,1.0,0.129
6,2019-03-12,2019,LG,키움,1.0,9.0,0.0,3.0,34,9.0,1.0,0.265
7,2019-03-12,2019,키움,LG,4.0,8.0,1.0,2.0,32,8.0,3.0,0.25
8,2019-03-12,2019,두산,한화,2.0,6.0,0.0,4.0,33,6.0,2.0,0.182
9,2019-03-12,2019,한화,두산,3.0,11.0,1.0,7.0,32,11.0,3.0,0.344
10,2019-03-13,2019,NC,롯데,5.0,11.0,0.0,0.0,31,11.0,5.0,0.323
11,2019-03-13,2019,롯데,NC,0.0,4.0,2.0,2.0,24,4.0,0.0,0.236
12,2019-03-13,2019,KT,삼성,1.0,6.0,0.0,1.0,33,6.0,1.0,0.236
13,2019-03-13,2019,삼성,KT,6.0,6.0,0.0,6.0,29,6.0,6.0,0.351
14,2019-03-13,2019,SK,KIA,3.0,2.0,2.0,6.0,27,2.0,3.0,0.123
15,2019-03-13,2019,KIA,SK,3.0,9.0,0.0,1.0,35,9.0,3.0,0.197
16,2019-03-13,2019,LG,키움,8.0,15.0,0.0,4.0,40,15.0,8.0,0.324
17,2019-03-13,2019,키움,LG,4.0,9.0,0.0,6.0,35,9.0,4.0,0.254
18,2019-03-13,2019,두산,한화,2.0,8.0,0.0,5.0,33,8.0,1.0,0.212
19,2019-03-13,2019,한화,두산,9.0,9.0,0.0,10.0,32,9.0,8.0,0.313
20,2019-03-14,2019,두산,LG,13.0,11.0,1.0,10.0,37,11.0,11.0,0.243
21,2019-03-14,2019,LG,두산,2.0,9.0,2.0,3.0,34,9.0,2.0,0.306
22,2019-03-14,2019,NC,삼성,6.0,9.0,1.0,4.0,34,9.0,5.0,0.303
23,2019-03-14,2019,삼성,NC,4.0,8.0,2.0,1.0,35,8.0,4.0,0.312
24,2019-03-14,2019,KT,KIA,5.0,8.0,1.0,4.0,32,8.0,4.0,0.24
25,2019-03-14,2019,KIA,KT,9.0,14.0,1.0,5.0,38,14.0,9.0,0.26
26,2019-03-14,2019,롯데,키움,3.0,5.0,1.0,10.0,30,5.0,3.0,0.212
27,2019-03-14,2019,키움,롯데,8.0,10.0,0.0,6.0,34,10.0,8.0,0.267
28,2019-03-14,2019,SK,한화,3.0,8.0,0.0,3.0,34,8.0,3.0,0.165
29,2019-03-14,2019,한화,SK,5.0,10.0,1.0,3.0,31,10.0,5.0,0.316
30,2019-03-15,2019,NC,삼성,3.0,9.0,0.0,1.0,31,9.0,3.0,0.3
31,2019-03-15,2019,삼성,NC,1.0,6.0,0.0,5.0,24,6.0,1.0,0.301
32,2019-03-15,2019,롯데,키움,3.0,8.0,0.0,1.0,35,8.0,3.0,0.217
33,2019-03-15,2019,키움,롯데,4.0,7.0,0.0,6.0,31,7.0,3.0,0.258
34,2019-03-15,2019,SK,한화,8.0,13.0,0.0,3.0,36,13.0,7.0,0.22
35,2019-03-15,2019,한화,SK,2.0,10.0,0.0,3.0,36,10.0,2.0,0.305
36,2019-03-16,2019,LG,삼성,7.0,11.0,0.0,5.0,37,11.0,7.0,0.303
37,2019-03-16,2019,삼성,LG,4.0,7.0,0.0,5.0,31,7.0,3.0,0.287
38,2019-03-16,2019,SK,KT,6.0,10.0,0.0,6.0,35,10.0,6.0,0.235
39,2019-03-16,2019,KT,SK,2.0,7.0,1.0,3.0,34,7.0,2.0,0.232
40,2019-03-16,2019,NC,KIA,2.0,8.0,1.0,3.0,34,8.0,2.0,0.287
41,2019-03-16,2019,KIA,NC,2.0,5.0,1.0,3.0,32,5.0,2.0,0.235
42,2019-03-16,2019,두산,키움,3.0,6.0,0.0,5.0,31,6.0,3.0,0.231
43,2019-03-16,2019,키움,두산,2.0,10.0,0.0,4.0,35,10.0,1.0,0.263
44,2019-03-16,2019,롯데,한화,1.0,2.0,0.0,5.0,30,2.0,0.0,0.187
45,2019-03-16,2019,한화,롯데,6.0,8.0,2.0,2.0,32,8.0,6.0,0.294
46,2019-03-17,2019,LG,삼성,5.8,9.2,0.2,3.8,38,9.2,5.6,0.2848
47,2019-03-17,2019,삼성,LG,5.0,8.0,2.0,4.0,34,8.0,5.0,0.278
48,2019-03-17,2019,SK,KT,3.0,7.0,0.0,2.0,34,7.0,2.0,0.23
49,2019-03-17,2019,KT,SK,3.2,8.0,0.4,2.6,32,8.0,2.6,0.2358
50,2019-03-17,2019,NC,KIA,5.0,8.0,1.0,6.0,31,8.0,5.0,0.282
51,2019-03-17,2019,KIA,NC,2.6,6.4,1.0,3.2,34,6.4,2.4,0.27480000000000004
52,2019-03-17,2019,두산,키움,3.6,8.6,0.2,4.6,31,8.6,3.6,0.24980000000000002
53,2019-03-17,2019,키움,두산,1.0,9.0,1.0,4.0,33,9.0,1.0,0.265
54,2019-03-17,2019,롯데,한화,3.2,7.4,0.0,4.0,41,7.4,2.6,0.19319999999999998
55,2019-03-17,2019,한화,롯데,5.4,9.2,0.6,3.0,32,9.2,5.2,0.2872
56,2019-03-19,2019,두산,SK,2.6,8.8,0.8,2.8,31,8.8,2.6,0.257
57,2019-03-19,2019,SK,두산,3.4,9.6,0.8,5.6,26,9.6,3.0,0.2982
58,2019-03-19,2019,KIA,키움,4.0,7.6,0.2,5.4,33,7.6,3.6,0.2392
59,2019-03-19,2019,키움,KIA,3.2,6.2,1.6,4.4,29,6.2,3.0,0.2198
60,2019-03-19,2019,삼성,롯데,5.8,8.8,0.6,3.8,34,8.8,5.2,0.2858
61,2019-03-19,2019,롯데,삼성,4.8,9.2,0.6,4.0,31,9.2,4.2,0.28859999999999997
62,2019-03-19,2019,한화,NC,2.6,7.2,1.0,2.8,35,7.2,2.4,0.26980000000000004
63,2019-03-19,2019,NC,한화,4.4,9.0,0.2,3.4,31,9.0,3.8,0.2008
64,2019-03-19,2019,LG,KT,7.4,11.4,0.4,4.2,36,11.4,7.2,0.304
65,2019-03-19,2019,KT,LG,6.0,8.6,0.8,5.4,32,8.6,5.2,0.2624
66,2019-03-20,2019,두산,SK,2.4,7.8,0.8,3.2,22,7.8,2.4,0.2574
67,2019-03-20,2019,SK,두산,3.4,8.4,0.6,4.6,22,8.4,3.0,0.27440000000000003
68,2019-03-20,2019,삼성,롯데,4.8,8.2,0.8,3.8,31,8.2,4.2,0.27559999999999996
69,2019-03-20,2019,롯데,삼성,5.8,9.6,0.6,5.0,33,9.6,5.0,0.2864
70,2019-03-20,2019,한화,NC,3.6,8.2,0.6,3.8,34,8.2,3.2,0.2792
71,2019-03-20,2019,NC,한화,4.4,8.8,0.4,2.6,30,8.8,4.0,0.2132
72,2019-03-20,2019,KIA,키움,3.0,6.0,0.2,4.6,33,6.0,2.6,0.22560000000000002
73,2019-03-20,2019,키움,KIA,3.8,6.6,1.2,5.0,33,6.6,3.6,0.23879999999999998
74,2019-03-23,2019,한화,두산,1.8,7.4,0.8,3.6,34,7.4,1.4,0.256
75,2019-03-23,2019,두산,한화,4.4,8.2,0.6,2.6,28,8.2,4.0,0.2326
76,2019-03-23,2019,KT,SK,1.4,6.2,1.0,3.4,36,6.2,1.4,0.2318
77,2019-03-23,2019,SK,KT,5.4,9.4,0.2,4.6,31,9.4,5.0,0.2746
78,2019-03-23,2019,키움,롯데,3.8,7.0,0.8,2.6,40,7.0,3.2,0.2732
79,2019-03-23,2019,롯데,키움,2.4,6.4,0.2,2.6,35,6.4,2.0,0.2332
80,2019-03-23,2019,삼성,NC,3.2,8.0,0.4,3.8,29,8.0,2.6,0.27140000000000003
81,2019-03-23,2019,NC,삼성,5.4,9.8,0.6,5.2,31,9.8,4.8,0.2728
82,2019-03-23,2019,LG,KIA,3.6,8.4,0.8,4.4,31,8.4,3.4,0.2684
83,2019-03-23,2019,KIA,LG,5.8,8.4,0.6,5.4,28,8.4,5.2,0.259
84,2019-03-24,2019,한화,두산,2.2,8.0,0.6,4.2,37,8.0,1.8,0.26539999999999997
85,2019-03-24,2019,두산,한화,3.8,6.8,0.6,3.0,28,6.8,3.6,0.2314
86,2019-03-24,2019,KT,SK,1.8,6.0,1.2,3.4,33,6.0,1.8,0.22079999999999997
87,2019-03-24,2019,SK,KT,5.6,9.8,0.4,4.6,33,9.8,5.0,0.256
88,2019-03-24,2019,키움,롯데,4.4,8.4,1.2,2.0,33,8.4,4.0,0.2916
89,2019-03-24,2019,롯데,키움,2.6,6.2,0.8,2.8,31,6.2,2.2,0.2298
90,2019-03-24,2019,삼성,NC,3.0,7.6,0.6,3.2,30,7.6,2.4,0.23879999999999998
91,2019-03-24,2019,NC,삼성,6.2,9.6,1.0,6.0,37,9.6,5.6,0.2644
92,2019-03-24,2019,LG,KIA,3.0,8.4,0.6,4.2,40,8.4,3.0,0.27199999999999996
93,2019-03-24,2019,KIA,LG,5.0,7.2,0.6,5.0,36,7.2,4.4,0.22960000000000003
94,2019-03-26,2019,키움,두산,4.0,7.8,0.6,4.4,33,7.8,3.6,0.272
95,2019-03-26,2019,두산,키움,3.2,6.8,1.0,2.2,30,6.8,2.8,0.23199999999999998
96,2019-03-26,2019,LG,SK,2.0,6.0,1.2,3.6,31,6.0,2.0,0.22080000000000002
97,2019-03-26,2019,SK,LG,3.0,6.8,1.0,3.0,33,6.8,2.8,0.2186
98,2019-03-26,2019,삼성,롯데,3.6,8.0,1.0,2.0,31,8.0,3.2,0.28759999999999997
99,2019-03-26,2019,롯데,삼성,5.4,9.0,1.4,5.2,34,9.0,4.8,0.2508
100,2019-03-26,2019,KT,NC,3.4,7.6,0.8,4.6,45,7.6,2.6,0.22240000000000001
