,index,date,상대팀,승/패,선수명,등판,타자,투구수,타수,피안타,홈런,4사구,삼진,실점,자책,평균자책점
0,0,2019-03-12,롯데,패,구창모,선발,18,77.0,15.0,6.0,2.0,3.0,3.0,6.0,5.0,15.0
1,5,2019-03-12,NC,승,레일리,선발,21,85.0,19.0,6.0,0.0,1.0,4.0,3.0,3.0,5.4
2,10,2019-03-12,삼성,패,쿠에바스,선발,23,78.0,21.0,9.0,1.0,1.0,4.0,6.0,6.0,12.46
3,17,2019-03-12,KT,승,윤성환,선발,18,64.0,16.0,6.0,4.0,2.0,1.0,6.0,4.0,12.0
4,23,2019-03-12,KIA,패,김광현,선발,13,43.0,13.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
5,29,2019-03-12,SK,승,터너,선발,18,72.0,16.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0
6,33,2019-03-12,키움,패,윌슨,선발,16,68.0,16.0,4.0,1.0,0.0,4.0,3.0,3.0,6.75
7,40,2019-03-12,LG,승,요키시,선발,23,84.0,20.0,8.0,0.0,3.0,4.0,1.0,1.0,1.93
8,45,2019-03-12,한화,패,장원준,선발,9,34.0,8.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0
9,52,2019-03-12,두산,승,김재영,선발,18,65.0,16.0,4.0,0.0,2.0,2.0,2.0,2.0,4.5
10,58,2019-03-13,롯데,승,이재학,선발,11,37.0,10.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
11,63,2019-03-13,NC,패,김원중,선발,12,39.0,12.0,5.0,0.0,0.0,3.0,1.0,1.0,3.0
12,68,2019-03-13,삼성,패,금민철,선발,17,65.0,16.0,4.0,0.0,1.0,2.0,2.0,2.0,4.5
13,73,2019-03-13,KT,승,헤일리,선발,17,76.0,17.0,5.0,0.0,0.0,5.0,1.0,1.0,2.25
14,79,2019-03-13,KIA,무,산체스,선발,14,52.0,14.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0
15,85,2019-03-13,SK,무,윌랜드,선발,17,83.0,15.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0
16,90,2019-03-13,키움,승,켈리,선발,16,61.0,15.0,4.0,0.0,1.0,2.0,2.0,2.0,4.5
17,95,2019-03-13,LG,패,최원태,선발,20,68.0,18.0,7.0,0.0,2.0,3.0,3.0,3.0,6.75
18,101,2019-03-13,한화,패,유희관,선발,16,62.0,14.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0
19,107,2019-03-13,두산,승,김성훈,선발,16,69.0,14.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0
20,113,2019-03-14,LG,승,후랭코프,선발,15,61.0,15.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
21,117,2019-03-14,두산,패,임찬규,선발,20,77.0,16.0,5.0,0.0,3.0,4.0,4.0,4.0,9.0
22,123,2019-03-14,삼성,승,김영규,선발,14,52.0,14.0,1.0,1.0,0.0,4.0,1.0,1.0,2.08
23,129,2019-03-14,NC,패,최채흥,선발,21,74.0,19.0,5.0,0.0,2.0,4.0,4.0,2.0,3.6
24,134,2019-03-14,KIA,패,이대은,선발,22,74.0,21.0,9.0,0.0,1.0,1.0,5.0,5.0,11.25
25,140,2019-03-14,KT,승,임기영,선발,20,76.0,18.0,6.0,0.0,2.0,5.0,4.0,4.0,8.31
26,146,2019-03-14,키움,패,톰슨,선발,24,82.0,20.0,5.0,0.0,4.0,6.0,3.0,3.0,5.79
27,151,2019-03-14,롯데,승,안우진,선발,20,80.0,16.0,2.0,1.0,4.0,5.0,2.0,2.0,3.86
28,155,2019-03-14,한화,패,다익손,선발,15,59.0,14.0,2.0,0.0,1.0,2.0,1.0,1.0,2.25
29,161,2019-03-14,SK,승,채드벨,선발,17,68.0,16.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0
30,168,2019-03-15,삼성,승,윤강민,선발,19,74.0,15.0,5.0,0.0,4.0,2.0,1.0,1.0,2.25
31,172,2019-03-15,NC,패,최충연,선발,22,83.0,21.0,7.0,1.0,1.0,5.0,3.0,3.0,5.79
32,177,2019-03-15,키움,패,장시환,선발,18,68.0,14.0,2.0,0.0,4.0,6.0,1.0,1.0,2.25
33,182,2019-03-15,롯데,승,김동준,선발,17,69.0,17.0,5.0,1.0,0.0,2.0,3.0,3.0,6.75
34,187,2019-03-15,한화,승,박종훈,선발,15,63.0,13.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0
35,193,2019-03-15,SK,패,서폴드,선발,17,65.0,17.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0
36,199,2019-03-16,삼성,승,정우영,선발,6,27.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
37,206,2019-03-16,LG,패,맥과이어,선발,18,73.0,16.0,2.0,0.0,2.0,7.0,0.0,0.0,0.0
38,213,2019-03-16,KT,승,문승원,선발,16,69.0,15.0,3.0,0.0,1.0,1.0,1.0,1.0,1.8
39,219,2019-03-16,SK,패,배제성,선발,20,84.0,17.0,6.0,1.0,3.0,3.0,4.0,0.0,0.0
40,226,2019-03-16,KIA,무,버틀러,선발,20,67.0,19.0,4.0,0.0,1.0,2.0,2.0,2.0,3.6
41,232,2019-03-16,NC,무,양현종,선발,20,69.0,18.0,6.0,0.0,2.0,5.0,2.0,2.0,4.5
42,238,2019-03-16,키움,승,린드블럼,선발,17,65.0,16.0,3.0,0.0,1.0,7.0,0.0,0.0,0.0
43,244,2019-03-16,두산,패,브리검,선발,20,80.0,19.0,4.0,0.0,1.0,3.0,2.0,2.0,3.6
44,249,2019-03-16,한화,패,윤성빈,선발,16,66.0,14.0,3.0,0.0,2.0,6.0,2.0,2.0,4.91
45,254,2019-03-16,롯데,승,박주홍,선발,19,74.0,16.0,1.0,0.0,3.0,3.0,1.0,1.0,1.8
46,259,2019-03-17,삼성,승,윌슨,선발,19,79.0,16.0,2.0,0.0,3.0,4.0,1.0,1.0,4.0
47,264,2019-03-17,LG,패,백정현,선발,25,76.0,21.0,6.0,0.0,4.0,3.0,3.0,2.0,3.6
48,269,2019-03-17,KT,승,이승진,선발,14,59.0,12.0,4.0,0.0,2.0,5.0,0.0,0.0,0.0
49,275,2019-03-17,SK,패,손동현,선발,15,63.0,13.0,3.0,0.0,2.0,6.0,1.0,0.0,0.0
50,282,2019-03-17,KIA,패,루친스키,선발,26,75.0,23.0,11.0,0.0,2.0,2.0,6.0,6.0,10.8
51,287,2019-03-17,NC,승,터너,선발,24,86.0,20.0,6.0,0.0,3.0,3.0,3.0,3.0,2.45
52,291,2019-03-17,키움,승,이용찬,선발,17,77.0,14.0,3.0,0.0,3.0,4.0,0.0,0.0,0.0
53,295,2019-03-17,두산,패,요키시,선발,19,76.0,17.0,3.0,0.0,2.0,3.0,0.0,0.0,0.93
54,301,2019-03-17,한화,승,레일리,선발,15,61.0,12.0,1.0,0.0,2.0,5.0,1.0,1.0,4.0
55,309,2019-03-17,롯데,패,김민우,선발,17,58.0,16.0,4.0,1.0,1.0,3.0,1.0,1.0,2.25
56,316,2019-03-19,SK,패,유희관,선발,17,74.0,17.0,2.0,1.0,0.0,5.0,1.0,1.0,1.0
57,320,2019-03-19,두산,승,이원준,선발,10,49.0,9.0,2.0,1.0,1.0,4.0,2.0,2.0,7.71
58,327,2019-03-19,키움,패,김기훈,선발,19,81.0,13.0,3.0,1.0,5.0,4.0,3.0,3.0,6.75
59,332,2019-03-19,KIA,승,이승호,선발,21,68.0,21.0,4.0,0.0,0.0,4.0,1.0,1.0,1.5
60,336,2019-03-19,롯데,패,윤성환,선발,23,59.0,20.0,5.0,0.0,2.0,0.0,3.0,2.0,6.75
61,341,2019-03-19,삼성,승,김원중,선발,16,68.0,16.0,5.0,0.0,0.0,4.0,0.0,0.0,1.29
62,347,2019-03-19,NC,승,채드벨,선발,20,80.0,20.0,5.0,0.0,0.0,4.0,1.0,1.0,0.87
63,353,2019-03-19,한화,패,구창모,선발,5,14.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,13.5
64,360,2019-03-19,KT,무,켈리,선발,16,77.0,14.0,3.0,0.0,2.0,3.0,1.0,1.0,3.38
65,367,2019-03-19,LG,무,금민철,선발,22,80.0,19.0,6.0,1.0,3.0,1.0,3.0,3.0,5.19
66,370,2019-03-20,SK,패,후랭코프,선발,21,74.0,18.0,4.0,0.0,3.0,5.0,1.0,0.0,0.0
67,373,2019-03-20,두산,승,다익손,선발,17,81.0,15.0,1.0,0.0,2.0,5.0,0.0,0.0,1.0
68,377,2019-03-20,롯데,패,최채흥,선발,19,81.0,15.0,4.0,0.0,4.0,3.0,2.0,2.0,4.0
69,382,2019-03-20,삼성,승,박시영,선발,9,34.0,9.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
70,389,2019-03-20,NC,패,김재영,선발,11,57.0,10.0,1.0,0.0,1.0,2.0,0.0,0.0,2.57
71,393,2019-03-20,한화,승,이재학,선발,12,51.0,12.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
72,401,2019-03-20,키움,패,임기영,선발,11,31.0,10.0,3.0,0.0,1.0,3.0,0.0,0.0,4.91
73,407,2019-03-20,KIA,승,김동준,선발,14,49.0,14.0,3.0,0.0,0.0,2.0,0.0,0.0,3.38
74,413,2019-03-23,두산,패,서폴드,선발,24,104.0,21.0,5.0,1.0,3.0,1.0,3.0,3.0,4.76
75,418,2019-03-23,한화,승,린드블럼,선발,27,93.0,24.0,9.0,0.0,3.0,5.0,2.0,2.0,3.18
76,424,2019-03-23,SK,패,쿠에바스,선발,26,84.0,24.0,7.0,1.0,2.0,3.0,4.0,4.0,6.35
77,428,2019-03-23,KT,승,김광현,선발,29,110.0,26.0,8.0,1.0,3.0,7.0,4.0,4.0,6.0
78,432,2019-03-23,롯데,승,브리검,선발,24,86.0,22.0,6.0,0.0,2.0,6.0,4.0,3.0,5.4
79,437,2019-03-23,키움,패,레일리,선발,21,81.0,19.0,6.0,2.0,2.0,4.0,5.0,5.0,11.25
80,443,2019-03-23,NC,패,맥과이어,선발,23,86.0,18.0,8.0,3.0,5.0,3.0,7.0,7.0,17.18
81,449,2019-03-23,삼성,승,버틀러,선발,25,96.0,23.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0
82,453,2019-03-23,KIA,승,윌슨,선발,26,93.0,22.0,3.0,0.0,3.0,4.0,0.0,0.0,0.0
83,456,2019-03-23,LG,패,양현종,선발,22,91.0,21.0,5.0,0.0,1.0,8.0,1.0,1.0,1.5
84,462,2019-03-24,두산,승,채드벨,선발,25,95.0,24.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0
85,464,2019-03-24,한화,패,이용찬,선발,27,103.0,24.0,4.0,0.0,3.0,9.0,6.0,2.0,3.0
86,468,2019-03-24,SK,패,금민철,선발,19,85.0,18.0,6.0,1.0,1.0,1.0,2.0,2.0,4.5
87,473,2019-03-24,KT,승,산체스,선발,24,96.0,20.0,6.0,0.0,4.0,7.0,3.0,3.0,5.4
88,478,2019-03-24,롯데,패,요키시,선발,23,94.0,21.0,5.0,1.0,1.0,4.0,4.0,4.0,6.35
89,482,2019-03-24,키움,승,김원중,선발,21,98.0,20.0,4.0,0.0,1.0,6.0,2.0,2.0,3.38
90,487,2019-03-24,NC,승,백정현,선발,26,93.0,25.0,8.0,1.0,1.0,2.0,3.0,3.0,5.06
91,492,2019-03-24,삼성,패,루친스키,선발,22,82.0,14.0,1.0,0.0,7.0,3.0,1.0,1.0,1.8
92,497,2019-03-24,KIA,승,켈리,선발,25,87.0,25.0,6.0,0.0,0.0,5.0,3.0,1.0,1.5
93,501,2019-03-24,LG,패,터너,선발,29,97.0,27.0,10.0,2.0,2.0,1.0,8.0,7.0,12.6
