,Date,Season,Team,상대팀,R,RECp,pita
0,2019-03-12,2019,NC,롯데,4.0,6.0,0.3076923076923077
1,2019-03-12,2019,롯데,NC,6.0,4.0,0.6923076923076923
2,2019-03-12,2019,KT,삼성,12.0,13.0,0.46006389776357826
3,2019-03-12,2019,삼성,KT,13.0,12.0,0.5399361022364217
4,2019-03-12,2019,SK,KIA,1.0,4.0,0.058823529411764705
5,2019-03-12,2019,KIA,SK,4.0,1.0,0.9411764705882353
6,2019-03-12,2019,LG,키움,1.0,4.0,0.058823529411764705
7,2019-03-12,2019,키움,LG,4.0,1.0,0.9411764705882353
8,2019-03-12,2019,두산,한화,2.0,3.0,0.3076923076923077
9,2019-03-12,2019,한화,두산,3.0,2.0,0.6923076923076923
10,2019-03-13,2019,NC,롯데,5.0,0.0,1.0
11,2019-03-13,2019,롯데,NC,0.0,5.0,0.0
12,2019-03-13,2019,KT,삼성,1.0,6.0,0.02702702702702703
13,2019-03-13,2019,삼성,KT,6.0,1.0,0.972972972972973
14,2019-03-13,2019,SK,KIA,3.0,3.0,0.5
15,2019-03-13,2019,KIA,SK,3.0,3.0,0.5
16,2019-03-13,2019,LG,키움,8.0,4.0,0.8
17,2019-03-13,2019,키움,LG,4.0,8.0,0.2
18,2019-03-13,2019,두산,한화,2.0,9.0,0.047058823529411764
19,2019-03-13,2019,한화,두산,9.0,2.0,0.9529411764705882
20,2019-03-14,2019,두산,LG,13.0,2.0,0.976878612716763
21,2019-03-14,2019,LG,두산,2.0,13.0,0.023121387283236993
22,2019-03-14,2019,NC,삼성,6.0,4.0,0.6923076923076923
23,2019-03-14,2019,삼성,NC,4.0,6.0,0.3076923076923077
24,2019-03-14,2019,KT,KIA,5.0,9.0,0.2358490566037736
25,2019-03-14,2019,KIA,KT,9.0,5.0,0.7641509433962265
26,2019-03-14,2019,롯데,키움,3.0,8.0,0.1232876712328767
27,2019-03-14,2019,키움,롯데,8.0,3.0,0.8767123287671232
28,2019-03-14,2019,SK,한화,3.0,5.0,0.2647058823529412
29,2019-03-14,2019,한화,SK,5.0,3.0,0.7352941176470589
30,2019-03-15,2019,NC,삼성,3.0,1.0,0.9
31,2019-03-15,2019,삼성,NC,1.0,3.0,0.1
32,2019-03-15,2019,롯데,키움,3.0,4.0,0.36
33,2019-03-15,2019,키움,롯데,4.0,3.0,0.64
34,2019-03-15,2019,SK,한화,8.0,2.0,0.9411764705882353
35,2019-03-15,2019,한화,SK,2.0,8.0,0.058823529411764705
36,2019-03-16,2019,LG,삼성,7.0,4.0,0.7538461538461538
37,2019-03-16,2019,삼성,LG,4.0,7.0,0.24615384615384617
38,2019-03-16,2019,SK,KT,6.0,2.0,0.9
39,2019-03-16,2019,KT,SK,2.0,6.0,0.1
40,2019-03-16,2019,NC,KIA,2.0,2.0,0.5
41,2019-03-16,2019,KIA,NC,2.0,2.0,0.5
42,2019-03-16,2019,두산,키움,3.0,2.0,0.6923076923076923
43,2019-03-16,2019,키움,두산,2.0,3.0,0.3076923076923077
44,2019-03-16,2019,롯데,한화,1.0,6.0,0.02702702702702703
45,2019-03-16,2019,한화,롯데,6.0,1.0,0.972972972972973
46,2019-03-17,2019,LG,삼성,5.8,5.6,0.5175384615384615
47,2019-03-17,2019,삼성,LG,5.0,7.0,0.33783783783783783
48,2019-03-17,2019,SK,KT,3.0,1.0,0.9
49,2019-03-17,2019,KT,SK,3.2,4.2,0.3672883787661406
50,2019-03-17,2019,NC,KIA,5.0,6.0,0.4098360655737705
51,2019-03-17,2019,KIA,NC,2.6,4.0,0.29701230228471004
52,2019-03-17,2019,두산,키움,3.6,4.4,0.4009900990099009
53,2019-03-17,2019,키움,두산,1.0,3.0,0.1
54,2019-03-17,2019,롯데,한화,3.2,5.0,0.29057888762769585
55,2019-03-17,2019,한화,롯데,5.4,2.6,0.811804008908686
56,2019-03-19,2019,두산,SK,2.6,4.6,0.2421203438395416
57,2019-03-19,2019,SK,두산,3.4,4.6,0.3533007334963325
58,2019-03-19,2019,KIA,키움,4.0,3.8,0.5256241787122208
59,2019-03-19,2019,키움,KIA,3.2,4.8,0.30769230769230776
60,2019-03-19,2019,삼성,롯데,5.8,3.0,0.7889305816135085
61,2019-03-19,2019,롯데,삼성,4.8,4.0,0.5901639344262295
62,2019-03-19,2019,한화,NC,2.6,4.2,0.27704918032786885
63,2019-03-19,2019,NC,한화,4.4,5.6,0.3817034700315458
64,2019-03-19,2019,LG,KT,7.4,4.2,0.756353591160221
65,2019-03-19,2019,KT,LG,6.0,5.0,0.5901639344262295
66,2019-03-20,2019,두산,SK,2.4,4.6,0.21396731054977716
67,2019-03-20,2019,SK,두산,3.4,4.6,0.3533007334963325
68,2019-03-20,2019,삼성,롯데,4.8,4.2,0.5663716814159292
69,2019-03-20,2019,롯데,삼성,5.8,2.8,0.8109932497589201
70,2019-03-20,2019,한화,NC,3.6,3.6,0.5
71,2019-03-20,2019,NC,한화,4.4,4.8,0.45660377358490567
72,2019-03-20,2019,KIA,키움,3.0,3.8,0.38395904436860073
73,2019-03-20,2019,키움,KIA,3.8,4.6,0.4056179775280899
74,2019-03-23,2019,한화,두산,1.8,4.2,0.15517241379310345
75,2019-03-23,2019,두산,한화,4.4,4.2,0.5232432432432433
76,2019-03-23,2019,KT,SK,1.4,4.2,0.09999999999999998
77,2019-03-23,2019,SK,KT,5.4,2.4,0.8350515463917526
78,2019-03-23,2019,키움,롯데,3.8,4.4,0.4272189349112425
79,2019-03-23,2019,롯데,키움,2.4,2.6,0.46006389776357826
80,2019-03-23,2019,삼성,NC,3.2,3.0,0.5322245322245323
81,2019-03-23,2019,NC,삼성,5.4,2.6,0.811804008908686
82,2019-03-23,2019,LG,KIA,3.6,4.0,0.44751381215469616
83,2019-03-23,2019,KIA,LG,5.8,5.4,0.5356687898089172
84,2019-03-24,2019,한화,두산,2.2,2.6,0.41724137931034483
85,2019-03-24,2019,두산,한화,3.8,4.6,0.4056179775280899
86,2019-03-24,2019,KT,SK,1.8,4.0,0.16839916839916838
87,2019-03-24,2019,SK,KT,5.6,3.0,0.7770069375619424
88,2019-03-24,2019,키움,롯데,4.4,4.6,0.4777887462981245
89,2019-03-24,2019,롯데,키움,2.6,3.2,0.39764705882352935
90,2019-03-24,2019,삼성,NC,3.0,3.8,0.38395904436860073
91,2019-03-24,2019,NC,삼성,6.2,2.4,0.869683257918552
92,2019-03-24,2019,LG,KIA,3.0,2.2,0.6502890173410405
93,2019-03-24,2019,KIA,LG,5.0,4.2,0.5863039399624765
94,2019-03-26,2019,키움,두산,4.0,2.2,0.7677543186180422
95,2019-03-26,2019,두산,키움,3.2,3.2,0.5
96,2019-03-26,2019,LG,SK,2.0,4.0,0.2
97,2019-03-26,2019,SK,LG,3.0,5.6,0.2229930624380575
98,2019-03-26,2019,삼성,롯데,3.6,5.6,0.29241877256317694
