,Date,Season,Team,상대팀,H&A,Result,Record,선발,R,H,E,B,AB,HIT,RBI,RECh,AVG,IP,HN,PIT,AP,HITp,HR,BB,SO,RECp,ER,ERA
0,2019-03-12,2019,NC,롯데,Away,0승 1패 0무,패,구창모,4,10,1,1,34,10,4,4,0.294,8,36,137,31,9,2,5,7,6,5,5.63
1,2019-03-12,2019,롯데,NC,Home,1승 0패 0무,승,레일리,6,9,0,5,31,9,5,6,0.290,9,36,132,34,10,0,1,7,4,4,4.00
2,2019-03-12,2019,KT,삼성,Away,0승 1패 0무,패,쿠에바스,12,11,0,8,39,11,12,12,0.282,8 2/3,48,176,45,20,3,2,7,13,13,13.50
3,2019-03-12,2019,삼성,KT,Home,1승 0패 0무,승,윤성환,13,20,1,2,45,20,13,13,0.444,9,47,191,39,11,4,8,7,12,10,10.00
4,2019-03-12,2019,SK,KIA,Away,0승 1패 0무,패,김광현,1,5,3,3,30,5,1,1,0.167,8,34,118,31,4,0,3,7,4,0,0.00
5,2019-03-12,2019,KIA,SK,Home,1승 0패 0무,승,터너,4,4,0,3,31,4,1,4,0.129,9,33,128,30,5,1,3,5,1,1,1.00
6,2019-03-12,2019,LG,키움,Away,0승 1패 0무,패,윌슨,1,9,0,3,34,9,1,1,0.265,8,34,143,32,8,1,2,9,4,4,4.50
7,2019-03-12,2019,키움,LG,Home,1승 0패 0무,승,요키시,4,8,1,2,32,8,3,4,0.250,9,37,137,34,9,0,3,10,1,1,1.00
8,2019-03-12,2019,두산,한화,Away,0승 1패 0무,패,장원준,2,6,0,4,33,6,2,2,0.182,8,40,150,32,11,0,7,5,3,3,3.38
9,2019-03-12,2019,한화,두산,Home,1승 0패 0무,승,김재영,3,11,1,7,32,11,3,3,0.344,9,37,138,33,6,0,4,7,2,2,2.00
10,2019-03-13,2019,NC,롯데,Away,1승 1패 0무,승,이재학,5,11,0,0,31,11,5,5,0.323,7,26,107,24,4,0,2,8,0,0,0.00
11,2019-03-13,2019,롯데,NC,Home,1승 1패 0무,패,김원중,0,4,2,2,24,4,0,0,0.236,7,31,111,31,11,1,0,8,5,2,2.57
12,2019-03-13,2019,KT,삼성,Away,0승 2패 0무,패,금민철,1,6,0,1,33,6,1,1,0.236,8,35,154,29,6,0,6,9,6,6,6.75
13,2019-03-13,2019,삼성,KT,Home,2승 0패 0무,승,헤일리,6,6,0,6,29,6,6,6,0.351,9,34,147,33,6,0,1,12,1,1,1.00
14,2019-03-13,2019,SK,KIA,Away,0승 1패 1무,무,산체스,3,2,2,6,27,2,3,3,0.123,9,36,116,35,9,0,1,8,3,2,2.00
15,2019-03-13,2019,KIA,SK,Home,1승 0패 1무,무,윌랜드,3,9,0,1,35,9,3,3,0.197,9,33,154,27,2,1,6,9,3,3,3.00
16,2019-03-13,2019,LG,키움,Away,1승 1패 0무,승,켈리,8,15,0,4,40,15,8,8,0.324,9,41,169,35,9,1,6,7,4,4,4.00
17,2019-03-13,2019,키움,LG,Home,1승 1패 0무,패,최원태,4,9,0,6,35,9,4,4,0.254,9,44,157,40,15,1,4,8,8,8,8.00
18,2019-03-13,2019,두산,한화,Away,0승 2패 0무,패,유희관,2,8,0,5,33,8,1,2,0.212,8,42,153,32,9,1,10,6,9,8,9.00
